"year","month","mw_00001","mw_00002","mw_00003"
2011,1,327.806295386,293.969336993,293.736028688
2011,2,178.065856461,183.30629445,169.924990654
2011,3,154.818663135,131.657774924,114.388150691
2011,4,81.252713204,54.49743557,41.46957016
2011,5,7.836989641,0.136370018,2.865513086
2011,6,0,0,0
2011,7,0,0,0
2011,8,0,0,0
2011,9,0,0,0
2011,10,10.69981122,9.880935431,8.190110922
2011,11,77.750355003,76.662584772,72.283381461
2011,12,109.667953962,119.03130532,112.456199647
2012,1,345.301197028,379.864486674,414.492976159
2012,2,243.879855384,235.712831493,214.089378845
2012,3,252.201052662,238.588944903,220.570199489
2012,4,140.36825276,115.15942001,81.11385345
2012,5,6.812875509,0,0
2012,6,0,0,0
2012,7,0,0,0
2012,8,0,0,0
2012,9,0,0,0
2012,10,7.390560865,5.84031272,6.296433568
2012,11,62.487048389,53.687300682,40.722486253
2012,12,215.275258781,187.806438678,189.748310564
2013,1,268.172878032,246.096401716,254.805394671
2013,2,179.994087703,155.194072721,172.134689807
2013,3,150.311775694,110.802485934,109.824443813
2013,4,116.3645782,96.46724701,95.236087315
2013,5,8.949147224,0,5.655083895
2013,6,0,0,0
2013,7,5.223726272,0,0
2013,8,0,0,0
2013,9,0,0,0
2013,10,9.375653743,6.865253448,5.873547554
2013,11,53.290649416,43.912097455,33.886796004
2013,12,230.756348125,214.54648685,198.271697037
2014,1,257.326331608,213.247685071,225.277414207
2014,2,226.709981445,225.813462252,247.538254978
2014,3,109.457615379,78.120745658,80.776946065
2014,4,83.40965652,61.86181355,75.85883713
2014,5,8.16524601,0,5.205772042
2014,6,0,0,0
2014,7,5.210212708,0,0
2014,8,0,0,0
2014,9,0,0,0
2014,10,5.522630691,0,0
2014,11,34.66869736,30.22912598,31.55951023
2014,12,202.944807778,175.711904034,162.815947058
2015,1,288.704031462,230.056795819,198.334795707
2015,2,203.189686311,185.678006895,207.780165664
2015,3,114.376287947,88.954394102,84.45759821
2015,4,71.936223513,52.982031823,50.656609783
2015,5,6.211774826,0,0
2015,6,0,0,0
2015,7,5.137527704,0,0
2015,8,0,0,0
2015,9,0,0,0
2015,10,6.025566101,5.197254419,5.494287491
2015,11,44.850942611,34.97044611,31.021682734
2015,12,182.034646507,182.035768978,187.717455383
2016,1,175.046770082,182.455342295,193.709809315
2016,2,177.430016026,184.548924667,188.841286168
2016,3,170.845997825,196.704376456,237.873758322
2016,4,23.91073799,24.35147666,27.0504322
2016,5,7.012322664,0,0
2016,6,0,0,0
2016,7,5.319408178,0,0
2016,8,0,0.03650444,0
2016,9,0,0,0
2016,10,9.65486908,6.770544052,5.76158619
2016,11,86.733482841,116.108878128,79.27918195
2016,12,237.373269569,178.014172071,182.398163563
2017,1,226.907254701,201.08626127,201.157049633
2017,2,327.425757417,334.034202098,308.579275593
2017,3,116.506735803,93.883348453,119.970450398
2017,4,61.9751625,47.95477867,32.96534729
2017,5,10.028789997,0,6.48790884
2017,6,0,0,0
2017,7,5.835443258,0,0
2017,8,0,0,0
2017,9,0,0,0
2017,10,8.216579914,6.217545986,6.69583261
2017,11,183.398796076,176.622527108,160.400289051
2017,12,287.58463382,266.192386631,274.814239513
2018,1,132.659009937,108.083774573,111.627940175
2018,2,237.307771693,238.565566767,212.982441423
2018,3,248.401433437,211.338256846,290.656680103
2018,4,109.96634006,84.78079986,62.83940315
2018,5,10.61129475,0,5.603861332
2018,6,0,0,0
2018,7,9.830161572,0,0
