"year","month","mw_00001","mw_00002","mw_00003"
1987,12,21.6797603870968,21.8851697741935,21.819114483871
1988,1,19.6829628709677,19.3507308387097,18.8236462258065
1988,2,19.1977118275862,19.4762859310345,19.4903594482759
1988,3,20.2518499354839,20.3738465806452,20.1351921612903
1988,4,19.5196784666667,19.4868151,19.3129197333333
1988,5,17.1425045806452,17.4482662580645,17.5811214516129
1988,6,16.6479966666667,16.7570881333333,16.8397235666667
1988,7,16.6841347096774,16.9605983548387,17.1521127096774
1988,8,19.3147023225806,19.3981936451613,19.3576117419355
1988,9,23.4511234666667,23.5699934,23.5240161333333
1988,10,22.5142066451613,22.8461857741935,22.8848017096774
1988,11,23.7538948666667,23.5278488,22.9508831666667
1988,12,20.6133162258065,20.8630886451613,20.830294516129
1989,1,16.9454383225806,16.7039344516129,16.209841
1989,2,17.6854158214286,17.6878925714286,17.4346289285714
1989,3,17.9031179516129,17.7719753709677,17.3909477258065
1989,4,18.6368854333333,18.7715239333333,18.7055345333333
1989,5,17.5349998709677,17.4503049354839,17.2413263225807
1989,6,16.5251295666667,16.7918368,16.9684161333333
1989,7,16.7903557419355,17.0399991612903,17.2476219677419
1989,8,19.4368466129032,19.5186051935484,19.5358867096774
1989,9,22.1575970333333,22.1394449333333,21.9243132666667
1989,10,22.7952478709677,22.9088848387097,22.920890516129
1989,11,22.301548,22.4420057333333,22.3758202333333
1989,12,19.524716516129,19.3941180322581,18.9394589354839
1990,1,18.9327989354839,19.3480438064516,19.441605
1990,2,20.2059518571429,20.3460901071429,20.0552471785714
1990,3,22.3400280645161,22.2259884193548,21.9040323548387
1990,4,20.1081949333333,20.0390587,19.7259486666667
1990,5,17.0989449677419,17.1832235483871,17.0985119354839
1990,6,16.9029301333333,17.0874692666667,17.1912648666667
1990,7,18.3742421935484,18.5004238709677,18.504795516129
1990,8,18.0341586451613,18.2925063225806,18.4564334516129
1990,9,21.8063813666667,21.9823873333333,21.8883585
1990,10,24.6800497419355,24.8650369032258,24.8086034193548
1990,11,23.1162763,23.3408541,23.2871672
1990,12,22.9795080322581,22.8865045806452,22.5100031935484
1991,1,19.2092245806452,19.2866910967742,19.2049012903226
1991,2,19.2982940357143,19.3811584285714,19.2332189285714
1991,3,19.3182608387097,19.3249501290323,19.1564484193548
1991,4,19.0156349333333,19.2422632666667,19.259643
1991,5,17.3406220645161,17.3965367741935,17.3422048387097
